matched,code,display,definition,parent_code,parent_display,lvl1_code,lvl1_display,display_en,definition_en,lvl1_display_en,parent_display_en
Infektionsdokumentationsbogen,VL040310,Infektionsdokumentationsbogen,Die Dokumentation beinhaltet Angaben zur Art und Dauer der Behandlung von Infektionskrankheiten und Erregern. Inkl.: MRSA/MRE Screening und Sanierung Exkl.: Nosokomialdokumentation,VL0403,Durchführungsnachweise,VL,Verlauf,Infection documentation form,The documentation includes information on the type and duration of treatment for infectious diseases and pathogens. Includes: MRSA/MRE screening and remediation. Excludes: Nosocomial documentation.,Course,Evidence of implementation
Insulinplan,VL040102,Insulinplan,Die Dokumentation beinhaltet Angaben über die Verabreichungsdauer und Verabreichungsart von Insulin.,VL0401,Diabetesdokumente,VL,Verlauf,Insulin plan,The documentation includes information on the duration and method of insulin Administration.,Course,Diabetes documents
Intensivdokumentationsbogen,VL090105,Intensivdokumentationsbogen,"Die Dokumentation beinhaltet Angaben zur standardisierten Erfassung unter anderem von: Vitalzeichen, Medikamentenverabreichung, Pflegemaßnahmen, Beatmungssituation und Laborwerten.",VL0901,Intensivmedizinische Dokumente,VL,Verlauf,Intensive care documentation form,"The documentation includes information for the standardized Admission of, among other things: vital signs, medication Administration, nursing measures, ventilation situation and laboratory values.",Course,Intensive care documents
Intensivkurve,VL090102,Intensivkurve,"Die Dokumentation beinhaltet Angaben über einen Zeitraum von 24 Stunden während einer intensivmedizinischen Versorgung. Vitalzeichen werden als Kurve dargestellt. Weitere Inhalte sind unter anderem: Medikamentenverabreichung, Pflegemaßnahmen, Beatmungssituation und Laborwerte. Inkl.: IMC Kurve Exkl.: Pflegekurve, Säuglingskurve",VL0901,Intensivmedizinische Dokumente,VL,Verlauf,Intensive care curve,"The documentation contains information covering a 24-hour period during intensive care. Vital signs are displayed as a graph. Other information includes medication Administration, nursing interventions, ventilation status, and laboratory values. Includes: IMC graph. Excludes: Nursing graph, infant graph.",Course,Intensive care documents
IntensivmedizinischeKomplexbehandlung,SD110102,Intensivmedizinische Komplexbehandlungsdokumentation,Die Dokumentation beinhaltet alle Angaben zu intensivmedizinischen Scores (bspw. TISS10 und SAPS II).,SD1101,Komplexbehandlungen,SD,Spezielle Dokumentation,Intensive care complex treatment,The documentation includes all information on intensive care scores (e.g. TISS10 and SAPS II).,Special documentation,Complex treatments
Intensivpflegebericht,VL090103,Intensivpflegebericht,Die Dokumentation beinhaltet Angaben des Allgemeinzustands und der durchgeführten Maßnahmen während der intensivmedizinischen Versorgung. Die Erfassung erfolgt nicht standardisiert als Freitext. Exkl.: Pflegebericht,VL0901,Intensivmedizinische Dokumente,VL,Verlauf,Intensive care report,The documentation includes information on the patient's general condition and the measures taken during intensive care. It is recorded in a non-standardized format using free text. Excl.: Nursing report,Course,Intensive care documents
Kardioversion,VL040314,Kardioversion,"Die Dokumentation beinhaltet eine kurze Zusammenfassung des Procedere, welches elektronisch oder medikamentös durchgeführt werden kann. Dokumentiert wird in Freitext oder auf standardisiertem Formular. Weitere Inhalte können Angaben zu den Vitaldaten und zur Sedierung während der Durchführung sein.",VL0403,Durchführungsnachweise,VL,Verlauf,Cardioversion,"The documentation includes a brief summary of the procedure, which can be performed electronically or with medication. Documentation is provided in free text or on a standardized form. Additional information may include vital signs and sedation during the procedure.",Course,Evidence of implementation
Konservenbegleitschein,TH200104,Konservenbegleitschein,Die Dokumentation beinhaltet alle relevanten Daten zu einer angeforderten Blutkonserve.,TH2001,Transfusionsdokumente,TH,Therapie,Canned goods accompanying note,The documentation contains all relevant data on a requested blood donation.,therapy,Transfusion documents
Konsilberichtextern,AD060104,Konsilbericht extern,Die Dokumentation beinhaltet die Zusammenfassung der Befundung und Empfehlung eines Facharztes für den weiteren Behandlungsverlauf. Erstellt von einer Fremdeinrichtung. Inkl.: KBV Muster 22 (Konsiliarbericht vor Aufnahme einer Psychotherapie); Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet. Die Abbildung ist ab sofort mit der KDL AD060110 (Konsilbericht) möglich.,AD0601,Fallbesprechungen,AD,Arztdokumentation,external consultation report,"The documentation contains a summary of the findings and a specialist's recommendation for further treatment. Prepared by an external institution. Includes: KBV Form 22 (Consultation Report Before Starting Psychotherapy); Note: This KDL document class will be obsolete as of January 1, 2026. Imaging is now possible with KDL AD060110 (Consultation Report).",Medical documentation,Case discussions
Konsilberichtintern,AD060103,Konsilbericht intern,Die Dokumentation beinhaltet die Befundung und Empfehlung eines konsiliarischen Facharztes für den weiteren Behandlungsverlauf. Erstellt von der entlassenden Einrichtung.; Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet. Die Abbildung ist ab sofort mit der KDL AD060110 (Konsilbericht) möglich.,AD0601,Fallbesprechungen,AD,Arztdokumentation,Internal Council Report,"The documentation includes the findings and recommendations of a consulting specialist for further treatment. Prepared by the discharging facility.; Note: This KDL document class will be obsolete as of January 1, 2026. Imaging is now possible with KDL AD060110 (Consultation Report).",Medical documentation,Case discussions
Kurzarztbrief,AD010112,Kurzarztbrief,Die Dokumentation beinhaltet die Zusammenfassung des stationären Aufenthaltes in Kurzform.,AD0101,Arztberichte,AD,Arztdokumentation,Short medical letter,The documentation includes a brief summary of the inpatient stay.,Medical documentation,Medical reports
Laborbefundextern,LB120102,Laborbefund extern,"Die Dokumentation beinhaltet Ergebnisse von Untersuchungen verschiedenster Materialien durch ein Fremdlabor/Praxis. Inkl.: Kumulativbefund, Vorbefund. Exkl.: Mikrobiologiebefund, Serologischer Befund;  Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet. Die Abbildung ist ab sofort mit der KDL LB120107 (Laborbefund) möglich.",LB1201,Laborbefunde,LB,Labor,External laboratory results,"The documentation contains results from tests on a wide variety of materials conducted by an external laboratory/practice. Includes: cumulative findings, preliminary findings. Excludes: microbiology findings, serological findings. Note: This KDL document class will be obsolete as of January 1, 2026. Imaging is now possible using KDL LB120107 (laboratory report).",Laboratory,laboratory findings
Laborbefundintern,LB120103,Laborbefund intern,"Die Dokumentation beinhaltet Ergebnisse von Untersuchungen verschiedenster Materialien durch ein hauseigenes Labor. Inkl.: Kumulativbefund, Vorbefund. Exkl.: Laborbefund extern, Mikrobiologiebefund, Serologischer Befund; Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet. Die Abbildung ist ab sofort mit der KDL LB120107 (Laborbefund) möglich.",LB1201,Laborbefunde,LB,Labor,Internal laboratory findings,"The documentation contains results from tests on a wide variety of materials conducted by an in-house laboratory. Includes: cumulative findings, preliminary findings. Excludes: external laboratory findings, microbiology findings, serological findings. Note: This KDL document class will be obsolete as of January 1, 2026. Imaging is now possible using KDL LB120107 (laboratory findings).",Laboratory,laboratory findings
Lagerungsplan,VL040304,Lagerungsplan,"Die Dokumentation beinhaltet Angaben über festgelegte Lagerungsintervalle. Inkl.: Dekubitusprophylaxe, Bewegungsplan",VL0403,Durchführungsnachweise,VL,Verlauf,Storage plan,"The documentation includes information on defined positioning intervals. Including: pressure ulcer prevention, exercise plan",Course,Evidence of implementation
Logopädieprotokoll,TH060102,Logopädieprotokoll,"Die Dokumentation beinhaltet Angaben zur Planung, Zielsetzung und Durchführung der logopädischen Behandlung. Inkl.: Abschlussbericht, Exkl.: Anforderung Funktionstherapie",TH0601,Funktionstherapien,TH,Therapie,Speech therapy protocol,"The documentation includes information on the planning, objectives, and implementation of speech therapy. Includes: Final report, excludes: Functional therapy request.",therapy,Functional therapies
MDKGutachten,AM010108,MD Gutachten,"Die Dokumentation beinhaltet das Ergebnis einer Begutachtung durch den Medizinischen Dienst, wie z. B. Einzelfallgutachten, Korrekturgutachten, Strukturgutachten, Grundsatzgutachten, Qualitätskontrollberichte.",AM0101,Abrechnungsdokumente,AM,Administration,MDK report,"The documentation includes the results of an assessment by the Medical Service, such as individual case reports, corrective reports, structural reports, fundamental reports, and quality control reports.",Administration,Billing documents
MDKPrüfauftrag,AM010107,MD Prüfauftrag,"Die Dokumentation beinhaltet die schriftliche Ankündigung zur Überprüfung eines abrechnungsrelevanten Sachverhaltes oder einer Leistungsgruppen/StrOPS-Prüfung durch den Medizinischen Dienst.  Exkl.: Schriftverkehr MD Kasse, MD Gutachten, Schriftverkehr MD Arzt",AM0101,Abrechnungsdokumente,AM,Administration,MDK test order,"The documentation includes the written notification of the review of a billing-relevant issue or a service group/StrOPS review by the Medical Service. Excl.: Medical Service Fund correspondence, Medical Service Report, Medical Service Physician correspondence.",Administration,Billing documents
MRT-Befund,DG020107,MRT-Befund,"Die Dokumentation beinhaltet Ergebnisse einer speziellen radiologischen Untersuchung, bei der Schnittbilder von Knochen und Weichteilen im menschlichen Körper, mit Hilfe von Magnetfeldern, bildlich dargestellt und ausgewertet werden.",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,MRI findings,The documentation contains the results of a special radiological examination in which cross-sectional images of bones and soft tissues in the human body are visualized and evaluated using magnetic fields.,Diagnostics,Imaging diagnostics
Mammographiebefund,DG020114,Mammographiebefund,"Die Dokumentation beinhaltet Ergebnisse einer radiologischen Untersuchung bei der mittels Röntgenstrahlen das Brustgewebe durchleuchtet, bildlich dargestellt und ausgewertet wird. Exkl.: Röntgenbefund",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Mammography findings,"The documentation includes the results of a radiological examination in which the breast tissue is examined, imaged, and evaluated using X-rays. Excl.: X-ray findings",Diagnostics,Imaging diagnostics
Medikamentenplanintern/extern,TH130105,Medikamentenplan extern,n.a.,TH1301,Medikamentöse Therapien,TH,Therapie,Internal/external medication plan,n/a.,therapy,Drug therapies
Monitoringausdruck,VL090104,Monitoringausdruck,Die Dokumentation beinhaltet Aufzeichnungen von Vitalzeichen und der Sauerstoffsättigung. Der Ausdruck wird elektronisch über einen Vitaldatenmonitor erstellt. Exkl.: Überwachungsprotokoll,VL0901,Intensivmedizinische Dokumente,VL,Verlauf,Monitoring printout,The documentation includes Admissions of vital signs and oxygen saturation. The printout is generated electronically via a vital signs monitor. Excl.: Monitoring log,Course,Intensive care documents
NIHStrokeScale,VL010107,NIH Stroke Scale,Die Dokumentation beinhaltet Angaben zur Beurteilung eines akut aufgetretenen Schlaganfalls. Die Auswertung erfolgt mittels Punktesystem.,VL0101,Assessmentbögen,VL,Verlauf,NIHStrokeScale,The documentation contains information for assessing an acute stroke. Evaluation is performed using a point system.,Course,Assessment sheets
Neugeborenenscreening,SD070104,Neugeborenenscreening,Die Dokumentation beinhaltet Untersuchungen vom Neugeborenen. Dazu gehören neben Laboruntersuchungen von Stoffwechselerkrankungen auch Hörtest und Sonographie der Hüften. Inkl.: Apgar,SD0701,Geburtendokumente,SD,Spezielle Dokumentation,Newborn screening,"The documentation includes examinations of the newborn. These include laboratory tests for metabolic disorders, hearing tests, and sonography of the hips. Including: Apgar",Special documentation,Birth documents
Neurographiebefund,DG060114,Neurographiebefund,"Die Dokumentation beinhaltet die Ergebnisse der Messung der Nervenleitgeschwindigkeit peripherer Nerven. Dazu zählen Nerven, die Muskeln versorgen sowie Nerven für Sinnesempfindungen.",DG0601,Funktionsdiagnostiken,DG,Diagnostik,Neurography findings,The documentation includes the results of nerve conduction velocity measurements of peripheral nerves. These include nerves that supply muscles and nerves that supply sensory sensations.,Diagnostics,Functional diagnostics
NeurologischeKomplexbehandlung,SD110104,Neurologische Komplexbehandlungsdokumentation,"Die Dokumentation beinhaltet Angaben über  eine mindestens 24-stündige Behandlung auf einer Stroke Unit Station, unter Gewährleistung von ständiger Anwesenheit eines Neurologen, zur kontinuierlichen Betreuung und Überwachung. Inkl.: Stroke Unit Dokumentation",SD1101,Komplexbehandlungen,SD,Spezielle Dokumentation,Neurological complex treatment,"The documentation includes information on at least 24 hours of treatment in a stroke unit, with the constant presence of a neurologist for continuous care and monitoring. Includes: Stroke Unit Documentation",Special documentation,Complex treatments
Notaufnahmebogen,AU190103,Notaufnahmebogen,Die Dokumentation beinhaltet den Befund des aktuellen Zustands in der Notaufnahme (inkl. Triage),AU1901,Rettungsstelle,AU,Aufnahme,Emergency admission form,The documentation includes the findings of the current condition in the emergency room (including triage),Admission,emergency room
OP-Bericht,OP150103,OP-Bericht,Die Dokumentation beinhaltet die  Zusammenfassung des Operationsverlaufes durch den Arzt.,OP1501,OP-Dokumente,OP,Operation,Surgical report,The documentation includes a summary of the surgical procedure by the doctor.,operation,Surgical documents
OP-Bilddokumentation,OP150104,OP-Bilddokumentation,"Die Dokumentation beinhaltet ausschließlich die bildliche Dokumentation, die während eines operativen Eingriffes entstanden ist. Exkl. Fotodokumentation Wunden, Fotodokumentation Dekubitus",OP1501,OP-Dokumente,OP,Operation,Surgical image documentation,The documentation includes only the photographic documentation created during a surgical procedure. Excludes photo documentation of wounds and photo documentation of pressure ulcers.,operation,Surgical documents
OP-Checkliste,OP150105,OP-Checkliste,Die Dokumentation beinhaltet Angaben über die Voraussetzungen und den Ablauf eines operativen Eingriffes.,OP1501,OP-Dokumente,OP,Operation,Surgical checklist,The documentation contains information about the requirements and procedure of a surgical intervention.,operation,Surgical documents
OP-Protokoll,OP150106,OP-Protokoll,"Die Dokumentation beinhaltet zusätzliche Angaben im Rahmen einer Operation. Inhalte sind u. a. OP-Team, Schnitt-Naht-Zeit, Materialverbrauch.",OP1501,OP-Dokumente,OP,Operation,Surgical protocol,"The documentation contains additional information related to a surgery. It includes the surgical team, incision and suture time, and material usage.",operation,Surgical documents
Operationsaufklärungsbogen,AM010303,Operationsaufklärungsbogen,"Die Dokumentation beinhaltet Angaben über die Aufklärung der geplanten Operation, inklusive anamnestischer Erhebungen.",AM0103,Aufklärungen,AM,Administration,Surgical information sheet,"The documentation includes information about the explanation of the planned operation, including anamnestic surveys.",Administration,Clarifications
PET-Befund,DG020109,PET-Befund,"Die Dokumentation beinhaltet Ergebnisse einer nuklearmedizinischen Untersuchung, welche zum größten Teil im Rahmen der Tumordiagnostik eingesetzt wird. Die Stoffwechselvorgänge im Gewebe werden bildlich dargestellt und ausgewertet. Es handelt sich um eine Positronen-Emissions-Tomographie. Exkl.: CT-Befund, SPECT-Befund, Szintigraphie",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,PET findings,"The documentation includes the results of a nuclear medicine examination, which is primarily used in tumor diagnostics. Metabolic processes in the tissue are visualized and evaluated. This is a positron emission tomography (PET) scan. Excl.: CT findings, SPECT findings, and scintigraphy.",Diagnostics,Imaging diagnostics
PKMS-Dokumentation,SD110106,PKMS-Dokumentation,Die Dokumentation beinhaltet Angaben zur Abbildung hochaufwendiger Pflegemaßnahmen in definierten Leistungsbereichen (Standardisierter Pflegekomplexmaßnahmenscore). Exkl.: Teambesprechungsprotokoll,SD1101,Komplexbehandlungen,SD,Spezielle Dokumentation,PKMS documentation,The documentation includes information on the representation of highly complex nursing measures in defined service areas (Standardized Complex Nursing Measures Score). Excl.: Team meeting minutes,Special documentation,Complex treatments
PalliativmedizinischeKomplexbehandlung,SD110105,Palliativmedizinische Komplexbehandlungsdokumentation,"Die Dokumentation beinhaltet standardisierte Angaben zu Symptom -und Schmerzlinderung bei geringer Lebenserwartung durch eine unheilbare Krankheit. Dies erfolgt unter Beteiligung unterschiedlicher ärztlicher und therapeutischer Fachbereiche. Inkl.: Palliativmedizinisches Basisassessment, Exkl.: Teambesprechungsprotokoll",SD1101,Komplexbehandlungen,SD,Spezielle Dokumentation,Palliative medical complex treatment,"The documentation includes standardized information on symptom and pain relief in patients with a short life expectancy due to an incurable disease. This is done with the involvement of various medical and therapeutic disciplines. Includes: Basic palliative medicine assessment, excludes: Team meeting minutes.",Special documentation,Complex treatments
Patientenverfügung,AM160104,Patientenverfügung,Die Dokumentation beinhaltet den vorsorglich festgehaltenen letzten Willen.,AM1601,Patienteneigene Dokumente,AM,Administration,Living will,The documentation includes the last will and testament recorded as a precautionary measure.,Administration,Patient-specific documents
Pflegeanamnesebogen,VL160104,Pflegeanamnesebogen,Die Dokumentation beinhaltet Angaben zum aktuellen Pflegezustand bei Aufnahme.,VL1601,Pflegedokumente,VL,Verlauf,Nursing history form,The documentation includes information on the current state of care upon admission.,Course,Care documents
Pflegebericht,VL160105,Pflegebericht,Die Dokumentation beinhaltet eine freitextliche Berichterstattung zum pflegerischen Zustand während eines bestimmten Behandlungszeitraums.,VL1601,Pflegedokumente,VL,Verlauf,Care report,The documentation includes a free-text report on the nursing condition during a specific treatment period.,Course,Care documents
Pflegekurve,VL160106,Pflegekurve,"Die Dokumentation beinhaltet Angaben, über mehrere klinische Tage, zur Erfassung von Vitalzeichen, Medikamentengaben, Pflegemaßnahmen und Laborwerten. Vitalzeichen werden als Kurve dargestellt. Exkl.: Intensivkurve. Säuglingskurve",VL1601,Pflegedokumente,VL,Verlauf,Care curve,"The documentation includes information covering several clinical days, including vital signs, medication Administration, nursing interventions, and laboratory results. Vital signs are presented as a graph. Excl.: intensive care graph. Infant graph.",Course,Care documents
Pflegenachweis,VL160114,Pflegenachweis,Die Dokumentation beinhaltet einen Nachweis von pflegerischen Leistungen. Exkl.: Pflegebericht,VL1601,Pflegedokumente,VL,Verlauf,Proof of care,The documentation includes proof of nursing care. Excl.: Nursing report,Course,Care documents
Physiotherapieprotokoll,TH060103,Physiotherapieprotokoll,"Die Dokumentation beinhaltet Angaben zur Planung, Zielsetzung und Durchführung der physiotherapeutischen Behandlung. Inkl.: Abschlussbericht, Exkl.: Anforderung Funktionstherapie",TH0601,Funktionstherapien,TH,Therapie,Physiotherapy protocol,"The documentation includes information on the planning, objectives, and implementation of the physiotherapy treatment. Includes: Final report, excludes: Functional therapy requirements.",therapy,Functional therapies
PostoperativeVerordnung,OP150107,Postoperative Verordnung,Die Dokumentation beinhaltet Anweisungen für den weiteren Behandlungsverlauf nach einem operativen Eingriff.,OP1501,OP-Dokumente,OP,Operation,Postoperative prescription,The documentation contains instructions for further treatment after a surgical procedure.,operation,Surgical documents
ProtokollErnährungsberatung,TH160101,Protokoll Ernährungsberatung,Die Dokumentation beinhaltet Angaben zu empfohlenen Nahrungsmitteln aufgrund verschiedener Indikationen.,TH1601,Patientenschulungen,TH,Therapie,Protocol Nutritional advice,The documentation includes information on recommended foods based on various indications.,therapy,Patient training
Prämedikationsprotokoll,TH130110,Prämedikationsprotokoll,"Die Dokumentation beinhaltet Angaben über die Anordnung und Verabreichung von Medikamenten vor einer Maßnahme. Exkl.: Anästhesieaufklärungsbogen, Präoperative Anästhesiedokumentation",TH1301,Medikamentöse Therapien,TH,Therapie,Premedication protocol,"The documentation includes information on the ordering and Administration of medications prior to a procedure. Excl.: anesthesia information sheet, preoperative anesthesia documentation",therapy,Drug therapies
Psychiatrisch-psychotherapeutischerVerlaufsbogen,SD160105,Psychiatrisch-psychotherapeutischer Verlaufsbogen,"Die Dokumentation beinhaltet Angaben über den Verlauf der psychiatrisch-psychotherapeutischen Behandlung, gekennzeichnet durch Einträge zu verschiedenen Zeitpunkten. Inkl.: Komplexbehandlungsbogen Psych, Exkl.: Spezialtherapeutische Verlaufsdokumentation, Dokumentation Verhaltensanalyse",SD1601,Dokumente Psychiatrie - Psychotherapie,SD,Spezielle Dokumentation,Psychiatric-psychotherapeutic course sheet,"The documentation contains information on the course of psychiatric-psychotherapeutic treatment, marked by entries at various points in time. Includes: Complex Treatment Form (Psych), Excludes: Special Therapy Progress Documentation, Behavioral Analysis Documentation",Special documentation,Documents Psychiatry - Psychotherapy
Punktionsprotokoll,VL040305,Punktionsprotokoll,"Die Dokumentation beinhaltet Angaben zum Verlauf einer Punktion sowie Nachweise von Biopsien und Checklisten. Inkl.: diagnostischer oder therapeutischer Punktion, Anmeldung zur Punktion",VL0403,Durchführungsnachweise,VL,Verlauf,Puncture protocol,"The documentation includes information on the puncture procedure, as well as evidence of biopsies and checklists. Includes: diagnostic or therapeutic puncture, registration for puncture",Course,Evidence of implementation
Reha-Bericht,AD010105,Reha-Bericht,Die Dokumentation beinhaltet die Zusammenfassung des Aufenthaltes während der Rehabilitation.,AD0101,Arztberichte,AD,Arztdokumentation,Rehabilitation report,The documentation includes a summary of the stay during rehabilitation.,Medical documentation,Medical reports
Röntgenbefund,DG020110,Röntgenbefund,"Die Dokumentation beinhaltet Ergebnisse einer radiologischen Untersuchung bei der Körperstrukturen wie Knochen, Gefäße und innere Organe mit Hilfe eines Röntgen-Gerätes durchleuchtet, bildlich dargestellt und ausgewertet werden. Exkl.: Mammographie, Angiographiebefund",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,X-ray findings,"The documentation includes the results of a radiological examination in which body structures such as bones, vessels, and internal organs are examined, imaged, and evaluated using an X-ray device. Excl.: mammography, angiography findings",Diagnostics,Imaging diagnostics
Schluckuntersuchung,DG060117,Schluckuntersuchung,Die Dokumentation beinhaltet die Ergebnisse einer Prüfung des Schluckverhaltens.,DG0601,Funktionsdiagnostiken,DG,Diagnostik,Swallowing examination,The documentation includes the results of a swallowing behavior test.,Diagnostics,Functional diagnostics
Schmerztherapieprotokoll,TH130109,Schmerztherapieprotokoll,Die Dokumentation beinhaltet Angaben über die Durchführung einer medikamentösen schmerzlindernden Therapie. Inkl.: Therapieplan Schmerztherapie,TH1301,Medikamentöse Therapien,TH,Therapie,Pain therapy protocol,The documentation includes information on the implementation of drug-based pain-relieving therapy. Including: Pain therapy treatment plan,therapy,Drug therapies
SchriftverkehrKrankenkasse,AM190104,Schriftverkehr Krankenkasse,"Die Dokumentation beinhaltet sämtliche Korrespondenz zwischen medizinischer Einrichtung und Krankenkasse. Inkl.: KBV Muster 50/51, PTV4 Exkl.: Widerspruchsbegründung",AM1901,Schriftverkehr,AM,Administration,Correspondence Health insurance,"The documentation includes all correspondence between the medical facility and the health insurance company. Includes: KBV template 50/51, PTV4. Excludes: Reasons for objection.",Administration,Correspondence
Schweigepflichtentbindung,AM050107,Schweigepflichtentbindung,"Die Dokumentation beinhaltet die schriftliche Einwilligung um medizinische Daten, die der ärztlichen Schweigepflicht unterliegen, an Dritte weitergeben zu dürfen.",AM0501,Einwilligungen/Erklärungen,AM,Administration,Release from confidentiality,"The documentation includes written consent to pass on medical data, which is subject to medical confidentiality, to third parties.",Administration,Consents/Declarations
Sonographiebefund,DG020111,Sonographiebefund,"Die Dokumentation beinhaltet Ergebnisse einer Untersuchung mittels Ultraschall, bei der organisches Gewebe bildlich dargestellt und ausgewertet werden. Exkl.: Echokardiographie, Inkl.: Doppler-, Duplexsonographie, Endosonographie",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Sonography findings,"The documentation includes the results of an ultrasound examination, which visualizes and evaluates organic tissue. Excl.: echocardiography, Incl.: Doppler, duplex sonography, endosonography",Diagnostics,Imaging diagnostics
SonstigeAnästhesiedokumentation,OP010199,Sonstige Anästhesiedokumentation,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Anästhesieausweis, Katheterprotokoll Anästhesie, PCEA Protokoll",OP0101,Anästhesie,OP,Operation,Other anesthesia documentation,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: anesthesia card, anesthesia catheter protocol, PCEA protocol",operation,anesthesia
SonstigeDiabetesdokumentation,VL040199,Sonstige Diabetesdokumentation,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Diabetes Verlaufsdokumentation, Diabetologische Empfehlungen, Diabetesberatung",VL0401,Diabetesdokumente,VL,Verlauf,Other diabetes documentation,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: diabetes progress documentation, diabetological recommendations, diabetes counseling",Course,Diabetes documents
SonstigeDokumentationBlut,LB020199,Sonstige Dokumentation Blut,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Aphareseprotokoll, Plasmaphereseprotokoll, Photophereseprotokoll",LB0201,Blut,LB,Labor,Other Documentation Blood,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: apheresis protocol, plasmapheresis protocol, photopheresis protocol",Laboratory,blood
SonstigeDokumentationFunktionsdiagnostik,DG060199,Sonstige Dokumentation Funktionsdiagnostik,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: PH Metrie, CNG-Analyse",DG0601,Funktionsdiagnostiken,DG,Diagnostik,Other Documentation Functional Diagnostics,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: pH measurement, CNG analysis",Diagnostics,Functional diagnostics
SonstigeDokumentationbildgebendeDiagnostik,DG020199,Sonstige Dokumentation bildgebende Diagnostik,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Kapillarmikroskopie",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Other Documentation Imaging Diagnostics,The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: Capillary microscopy,Diagnostics,Imaging diagnostics
SonstigeEinwilligung/Erklärung,AM050199,Sonstige Einwilligung/Erklärung,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Abtretungserklärung, Aushändigung der Explantate, Einwilligung zum Tragen des Patientenidentifikationsarmbandes, Patientenerklärung Europäische Krankenversicherung, Zustimmungserklärung. Exkl.: Einwilligungen im Rahmen der medizinischen Aufklärung (Unterklasse Aufklärungen (AM0103))",AM0501,Einwilligungen/Erklärungen,AM,Administration,Other Consent/Declaration,"The documentation contains information that cannot be represented in a more specific medical documentation of this subclass. Includes: Declaration of Assignment, Delivery of Explants, Consent to Wear the Patient Identification Bracelet, Patient Declaration for European Health Insurance, Declaration of Consent. Excludes: Consent within the scope of medical information (subclass Information (AM0103))",Administration,Consents/Declarations
SonstigeFallbesprechung,AD060199,Sonstige Fallbesprechung,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Angehörigengespräch/Patientengespräch/Entlassungsgespräch, Gesprächsnotiz, Sprechstundenprotokoll",AD0601,Fallbesprechungen,AD,Arztdokumentation,Other case discussion,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: family meeting/patient meeting/discharge meeting, meeting notes, consultation minutes",Medical documentation,Case discussions
SonstigeOP-Dokumentation,OP150199,Sonstige OP-Dokumentation,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Begleitschein für Explantate, OP Begleitzettel, OP Übergabeprotokoll, OP Vorbereitungsbogen, HLM Protokoll",OP1501,OP-Dokumente,OP,Operation,Other surgical documentation,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: Explant accompanying note, surgical accompanying note, surgical handover protocol, surgical preparation form, HLM protocol",operation,Surgical documents
SonstigeWunddokumentation,VL230199,Sonstige Wunddokumentation,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Anamnese Wunddokumentation, Aufnahme- und Kurzprotokoll Wundtherapie, Wundmanagement",VL2301,Wunddokumente,VL,Verlauf,Other wound documentation,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: anamnesis, wound documentation, admission and brief protocol, wound therapy, wound management",Course,Wound documents
SonstigemedizinischeDokumentation,UB999999,Sonstige medizinische Dokumentation,"Die Dokumentation beinhaltet alle Dokumententypen, die nicht in eine spezifischeren KDL aller Unterklassen abgebildet werden können. Inkl.: Patientenetiketten, Visitenkarte, Registerblätter",UB9999,Sonstige Dokumentation,UB,Sonstiges,Other medical documentation,"The documentation includes all document types that cannot be mapped into a more specific KDL of any subclass. Including: patient labels, business cards, and index sheets.",Miscellaneous,Other documentation
